Wolf Creek Weater Station,"48°45'23.2""N 124°22'21.4""W",,Elevation: 495m,,,,,,
"Date Time, GMT-07:00",Tip Count (0.2mm),,Value,Row Count in 24 hr window, 24 hr Precip Sum (mm),"Event total (If multi-day total, adjust here)","If multi-day event, hours total",Exact storm duration/ other notes,Hourly Rate (mm/hr) ... notably an averaged rate
07/17/23 3:30:00 PM,0,,1,1,n/a,n/a,n/a,MANUAL TIP FROM INSTALL on JULY 17 2023,n/a
07/24/23 1:26:16 AM,1,NEW 24 hr period,1,186,37.2,48.6mm,35.5 hrs,"1 day, 11 hours, 27 minutes and 35 seconds",1.4mm/hr
07/24/23 2:08:19 AM,2,,1,,,,,,
07/24/23 4:20:31 AM,3,,1,,,,,,
07/24/23 5:23:34 AM,4,,1,,,,,,
07/24/23 5:33:23 AM,5,,1,,,,,,
07/24/23 5:56:09 AM,6,,1,,,,,,
07/24/23 8:29:10 AM,7,,1,,,,,,
07/24/23 8:48:40 AM,8,,1,,,,,,
07/24/23 8:59:23 AM,9,,1,,,,,,
07/24/23 9:14:06 AM,10,,1,,,,,,
07/24/23 9:20:32 AM,11,,1,,,,,,
07/24/23 9:33:19 AM,12,,1,,,,,,
07/24/23 9:37:07 AM,13,,1,,,,,,
07/24/23 9:51:18 AM,14,,1,,,,,,
07/24/23 9:51:19 AM,15,,1,,,,,,
07/24/23 9:59:07 AM,16,,1,,,,,,
07/24/23 10:10:31 AM,17,,1,,,,,,
07/24/23 10:22:44 AM,18,,1,,,,,,
07/24/23 10:51:36 AM,19,,1,,,,,,
07/24/23 11:07:54 AM,20,,1,,,,,,
07/24/23 11:14:20 AM,21,,1,,,,,,
07/24/23 11:15:33 AM,22,,1,,,,,,
07/24/23 11:17:09 AM,23,,1,,,,,,
07/24/23 11:18:49 AM,24,,1,,,,,,
07/24/23 11:20:48 AM,25,,1,,,,,,
07/24/23 11:20:49 AM,26,,1,,,,,,
07/24/23 11:22:33 AM,27,,1,,,,,,
07/24/23 11:24:55 AM,28,,1,,,,,,
07/24/23 11:27:17 AM,29,,1,,,,,,
07/24/23 11:29:50 AM,30,,1,,,,,,
07/24/23 11:31:55 AM,31,,1,,,,,,
07/24/23 11:34:35 AM,32,,1,,,,,,
07/24/23 11:37:33 AM,33,,1,,,,,,
07/24/23 11:51:43 AM,34,,1,,,,,,
07/24/23 11:51:44 AM,35,,1,,,,,,
07/24/23 11:54:15 AM,36,,1,,,,,,
07/24/23 11:57:47 AM,37,,1,,,,,,
07/24/23 12:01:07 PM,38,,1,,,,,,
07/24/23 12:05:20 PM,39,,1,,,,,,
07/24/23 12:07:20 PM,40,,1,,,,,,
07/24/23 12:09:11 PM,41,,1,,,,,,
07/24/23 12:10:41 PM,42,,1,,,,,,
07/24/23 12:12:44 PM,43,,1,,,,,,
07/24/23 12:14:41 PM,44,,1,,,,,,
07/24/23 12:18:30 PM,45,,1,,,,,,
07/24/23 12:21:55 PM,46,,1,,,,,,
07/24/23 12:26:13 PM,47,,1,,,,,,
07/24/23 12:26:14 PM,48,,1,,,,,,
07/24/23 12:28:09 PM,49,,1,,,,,,
07/24/23 12:29:41 PM,50,,1,,,,,,
07/24/23 12:29:42 PM,51,,1,,,,,,
07/24/23 12:31:21 PM,52,,1,,,,,,
07/24/23 12:33:20 PM,53,,1,,,,,,
07/24/23 12:35:06 PM,54,,1,,,,,,
07/24/23 12:37:28 PM,55,,1,,,,,,
07/24/23 12:37:29 PM,56,,1,,,,,,
07/24/23 12:38:51 PM,57,,1,,,,,,
07/24/23 12:40:19 PM,58,,1,,,,,,
07/24/23 12:41:55 PM,59,,1,,,,,,
07/24/23 12:43:29 PM,60,,1,,,,,,
07/24/23 12:45:18 PM,61,,1,,,,,,
07/24/23 12:47:18 PM,62,,1,,,,,,
07/24/23 12:47:19 PM,63,,1,,,,,,
07/24/23 12:49:14 PM,64,,1,,,,,,
07/24/23 12:51:39 PM,65,,1,,,,,,
07/24/23 12:53:41 PM,66,,1,,,,,,
07/24/23 12:55:04 PM,67,,1,,,,,,
07/24/23 12:56:40 PM,68,,1,,,,,,
07/24/23 12:58:14 PM,69,,1,,,,,,
07/24/23 12:59:28 PM,70,,1,,,,,,
07/24/23 1:00:39 PM,71,,1,,,,,,
07/24/23 1:01:42 PM,72,,1,,,,,,
07/24/23 1:03:09 PM,73,,1,,,,,,
07/24/23 1:03:54 PM,74,,1,,,,,,
07/24/23 1:04:38 PM,75,,1,,,,,,
07/24/23 1:05:09 PM,76,,1,,,,,,
07/24/23 1:06:03 PM,77,,1,,,,,,
07/24/23 1:06:55 PM,78,,1,,,,,,
07/24/23 1:07:45 PM,79,,1,,,,,,
07/24/23 1:08:40 PM,80,,1,,,,,,
07/24/23 1:10:19 PM,81,,1,,,,,,
07/24/23 1:11:36 PM,82,,1,,,,,,
07/24/23 1:13:06 PM,83,,1,,,,,,
07/24/23 1:13:07 PM,84,,1,,,,,,
07/24/23 1:14:25 PM,85,,1,,,,,,
07/24/23 1:16:00 PM,86,,1,,,,,,
07/24/23 1:17:16 PM,87,,1,,,,,,
07/24/23 1:18:46 PM,88,,1,,,,,,
07/24/23 1:20:01 PM,89,,1,,,,,,
07/24/23 1:22:04 PM,90,,1,,,,,,
07/24/23 1:22:05 PM,91,,1,,,,,,
07/24/23 1:24:56 PM,92,,1,,,,,,
07/24/23 1:26:54 PM,93,,1,,,,,,
07/24/23 1:28:24 PM,94,,1,,,,,,
07/24/23 1:30:06 PM,95,,1,,,,,,
07/24/23 1:31:28 PM,96,,1,,,,,,
07/24/23 1:34:25 PM,97,,1,,,,,,
07/24/23 1:37:52 PM,98,,1,,,,,,
07/24/23 1:47:01 PM,99,,1,,,,,,
07/24/23 1:54:35 PM,100,,1,,,,,,
07/24/23 2:05:43 PM,101,,1,,,,,,
07/24/23 2:10:27 PM,102,,1,,,,,,
07/24/23 2:12:21 PM,103,,1,,,,,,
07/24/23 2:14:06 PM,104,,1,,,,,,
07/24/23 2:16:14 PM,105,,1,,,,,,
07/24/23 2:17:15 PM,106,,1,,,,,,
07/24/23 2:18:19 PM,107,,1,,,,,,
07/24/23 2:19:30 PM,108,,1,,,,,,
07/24/23 2:20:59 PM,109,,1,,,,,,
07/24/23 2:22:25 PM,110,,1,,,,,,
07/24/23 2:25:34 PM,111,,1,,,,,,
07/24/23 2:27:08 PM,112,,1,,,,,,
07/24/23 2:28:33 PM,113,,1,,,,,,
07/24/23 2:29:48 PM,114,,1,,,,,,
07/24/23 2:31:49 PM,115,,1,,,,,,
07/24/23 2:33:33 PM,116,,1,,,,,,
07/24/23 2:35:35 PM,117,,1,,,,,,
07/24/23 2:37:02 PM,118,,1,,,,,,
07/24/23 2:38:43 PM,119,,1,,,,,,
07/24/23 2:38:44 PM,120,,1,,,,,,
07/24/23 2:39:51 PM,121,,1,,,,,,
07/24/23 2:41:54 PM,122,,1,,,,,,
07/24/23 2:43:52 PM,123,,1,,,,,,
07/24/23 2:45:34 PM,124,,1,,,,,,
07/24/23 2:46:51 PM,125,,1,,,,,,
07/24/23 2:48:40 PM,126,,1,,,,,,
07/24/23 2:49:52 PM,127,,1,,,,,,
07/24/23 2:51:12 PM,128,,1,,,,,,
07/24/23 2:52:04 PM,129,,1,,,,,,
07/24/23 2:53:22 PM,130,,1,,,,,,
07/24/23 2:54:55 PM,131,,1,,,,,,
07/24/23 2:56:54 PM,132,,1,,,,,,
07/24/23 2:58:33 PM,133,,1,,,,,,
07/24/23 3:01:10 PM,134,,1,,,,,,
07/24/23 3:02:35 PM,135,,1,,,,,,
07/24/23 3:05:10 PM,136,,1,,,,,,
07/24/23 3:06:18 PM,137,,1,,,,,,
07/24/23 3:07:27 PM,138,,1,,,,,,
07/24/23 3:07:28 PM,139,,1,,,,,,
07/24/23 3:08:21 PM,140,,1,,,,,,
07/24/23 3:09:52 PM,141,,1,,,,,,
07/24/23 3:10:58 PM,142,,1,,,,,,
07/24/23 3:11:55 PM,143,,1,,,,,,
07/24/23 3:12:36 PM,144,,1,,,,,,
07/24/23 3:13:34 PM,145,,1,,,,,,
07/24/23 3:14:12 PM,146,,1,,,,,,
07/24/23 3:14:40 PM,147,,1,,,,,,
07/24/23 3:14:56 PM,148,,1,,,,,,
